Date : 2023-09-04 09:56:00
Directory : c:\Users\21H1 HNQA\Documents\mern_web\restaurant
Total : 119 files,  4288 codes, 85 comments, 387 blanks, all 4760 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        101 |      3,822 |         85 |        354 |      4,261 |
| JavaScript     |          9 |        185 |          0 |         18 |        203 |
| JSON           |          2 |        155 |          0 |          0 |        155 |
| CSS            |          5 |         85 |          0 |         14 |         99 |
| XML            |          1 |         40 |          0 |          1 |         41 |
| HTML           |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        119 |      4,288 |         85 |        387 |      4,760 |
| client                                                                                                                   |        110 |      4,103 |         85 |        369 |      4,557 |
| client (Files)                                                                                                           |          3 |        156 |          0 |          0 |        156 |
| client\public                                                                                                            |          1 |         40 |          0 |          1 |         41 |
| client\src                                                                                                               |        106 |      3,907 |         85 |        368 |      4,360 |
| client\src (Files)                                                                                                       |          2 |         55 |          1 |          2 |         58 |
| client\src\Components                                                                                                    |         29 |      1,188 |         29 |         95 |      1,312 |
| client\src\Components\Admin                                                                                              |          9 |        231 |          1 |         20 |        252 |
| client\src\Components\Admin\Chart                                                                                        |          2 |         67 |          1 |          5 |         73 |
| client\src\Components\Admin\DataTable                                                                                    |          2 |         21 |          0 |          3 |         24 |
| client\src\Components\Admin\ListItem                                                                                     |          1 |        102 |          0 |          6 |        108 |
| client\src\Components\Admin\Orders                                                                                       |          2 |         27 |          0 |          3 |         30 |
| client\src\Components\Admin\Title                                                                                        |          2 |         14 |          0 |          3 |         17 |
| client\src\Components\FormDialog                                                                                         |          4 |        353 |         25 |         27 |        405 |
| client\src\Components\SelectFilter                                                                                       |          2 |         29 |          0 |          5 |         34 |
| client\src\Components\User                                                                                               |         14 |        575 |          3 |         43 |        621 |
| client\src\Components\User\Cards                                                                                         |          2 |         63 |          0 |          3 |         66 |
| client\src\Components\User\Footer                                                                                        |          2 |        101 |          0 |          4 |        105 |
| client\src\Components\User\Header                                                                                        |          3 |        250 |          3 |         18 |        271 |
| client\src\Components\User\Search                                                                                        |          3 |         48 |          0 |          9 |         57 |
| client\src\Components\User\Sidebar                                                                                       |          2 |         77 |          0 |          4 |         81 |
| client\src\Components\User\Slider                                                                                        |          2 |         36 |          0 |          5 |         41 |
| client\src\Contexts                                                                                                      |          6 |        280 |         11 |         61 |        352 |
| client\src\DefaultLayout                                                                                                 |          5 |        193 |          7 |         13 |        213 |
| client\src\DefaultLayout\DefaultLayoutAdmin                                                                              |          2 |        170 |          6 |         11 |        187 |
| client\src\DefaultLayout\DefaultLayoutUser                                                                               |          3 |         23 |          1 |          2 |         26 |
| client\src\GlobalStyles                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| client\src\Pages                                                                                                         |         42 |      1,771 |          8 |        131 |      1,910 |
| client\src\Pages\Admin                                                                                                   |         12 |        819 |          5 |         79 |        903 |
| client\src\Pages\Admin\AdminDashboard                                                                                    |          2 |         41 |          5 |          6 |         52 |
| client\src\Pages\Admin\Auth                                                                                              |          2 |        121 |          0 |          6 |        127 |
| client\src\Pages\Admin\Auth\AdminLogin                                                                                   |          2 |        121 |          0 |          6 |        127 |
| client\src\Pages\Admin\CategoryManage                                                                                    |          2 |        155 |          0 |         17 |        172 |
| client\src\Pages\Admin\CustomerManage                                                                                    |          2 |        161 |          0 |         16 |        177 |
| client\src\Pages\Admin\DishManage                                                                                        |          2 |        167 |          0 |         17 |        184 |
| client\src\Pages\Admin\EmployeeManage                                                                                    |          2 |        174 |          0 |         17 |        191 |
| client\src\Pages\Dashboard                                                                                               |          2 |         -7 |          0 |         -2 |         -9 |
| client\src\Pages\Login                                                                                                   |          2 |       -168 |          0 |         -7 |       -175 |
| client\src\Pages\Page404                                                                                                 |          2 |         56 |          3 |          8 |         67 |
| client\src\Pages\User                                                                                                    |         24 |      1,071 |          0 |         53 |      1,124 |
| client\src\Pages\User\About                                                                                              |          2 |        133 |          0 |          3 |        136 |
| client\src\Pages\User\Account                                                                                            |          2 |          7 |          0 |          2 |          9 |
| client\src\Pages\User\Auth                                                                                               |          4 |        338 |          0 |         14 |        352 |
| client\src\Pages\User\Auth\Login                                                                                         |          2 |        153 |          0 |          8 |        161 |
| client\src\Pages\User\Auth\Register                                                                                      |          2 |        185 |          0 |          6 |        191 |
| client\src\Pages\User\Cart                                                                                               |          2 |          7 |          0 |          2 |          9 |
