Date : 2023-09-24 17:11:13
Directory : c:\Users\21H1 HNQA\Documents\mern_web\restaurants
Total : 80 files,  1927 codes, 86 comments, 119 blanks, all 2132 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         68 |      1,897 |         86 |        122 |      2,105 |
| JavaScript     |         11 |         30 |          0 |         -2 |         28 |
| Properties     |          1 |          0 |          0 |         -1 |         -1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         80 |      1,927 |         86 |        119 |      2,132 |
| client                                                                                                                      |         68 |      1,897 |         86 |        122 |      2,105 |
| client\src                                                                                                                  |         68 |      1,897 |         86 |        122 |      2,105 |
| client\src\Components                                                                                                       |          6 |         27 |         -7 |          7 |         27 |
| client\src\Components\Admin                                                                                                 |          4 |        -18 |        -12 |         -2 |        -32 |
| client\src\Components\Admin\DataTable                                                                                       |          1 |         -3 |         -1 |         -1 |         -5 |
| client\src\Components\Admin\ListItem                                                                                        |          1 |         -9 |          0 |          0 |         -9 |
| client\src\Components\Admin\detailInfo                                                                                      |          2 |         -6 |        -11 |         -1 |        -18 |
| client\src\Components\FormDialog                                                                                            |          1 |         63 |          5 |          9 |         77 |
| client\src\Components\User                                                                                                  |          1 |        -18 |          0 |          0 |        -18 |
| client\src\Components\User\logo                                                                                             |          1 |        -18 |          0 |          0 |        -18 |
| client\src\Contexts                                                                                                         |          2 |         39 |          4 |          2 |         45 |
| client\src\Pages                                                                                                            |         24 |        612 |         19 |         49 |        680 |
| client\src\Pages\Admin                                                                                                      |         19 |        560 |         -2 |         42 |        600 |
| client\src\Pages\Admin\Auth                                                                                                 |          1 |         -1 |          6 |          0 |          5 |
| client\src\Pages\Admin\Auth\AdminLogin                                                                                      |          1 |         -1 |          6 |          0 |          5 |
| client\src\Pages\Admin\CategoryManage                                                                                       |          3 |        183 |         12 |         21 |        216 |
| client\src\Pages\Admin\Charts                                                                                               |          2 |         -7 |          0 |         -2 |         -9 |
| client\src\Pages\Admin\CustomerManage                                                                                       |          2 |         92 |          1 |          3 |         96 |
| client\src\Pages\Admin\EmployeeManage                                                                                       |          3 |        154 |          5 |         10 |        169 |
