Date : 2023-09-07 14:09:18
Directory : c:\Users\21H1 HNQA\Documents\mern_web\restaurants
Total : 372 files,  1275 codes, 183 comments, 225 blanks, all 1683 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         13 |        725 |          0 |          1 |        726 |
| JavaScript JSX |        261 |        679 |        179 |        241 |      1,099 |
| XML            |         20 |         38 |          0 |          5 |         43 |
| HTML           |          3 |         25 |          4 |          9 |         38 |
| JavaScript     |         62 |          9 |          0 |          0 |          9 |
| Markdown       |          4 |          0 |          0 |          0 |          0 |
| CSS            |          9 |       -201 |          0 |        -31 |       -232 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        372 |      1,275 |        183 |        225 |      1,683 |
| . (Files)                                                                                                                |          1 |          2 |          0 |          1 |          3 |
| ..                                                                                                                       |        174 |    -17,660 |       -140 |       -774 |    -18,574 |
| ..\restaurant                                                                                                            |        174 |    -17,660 |       -140 |       -774 |    -18,574 |
| ..\restaurant (Files)                                                                                                    |          1 |         -2 |          0 |         -1 |         -3 |
| ..\restaurant\client                                                                                                     |        141 |    -13,892 |       -132 |       -567 |    -14,591 |
| ..\restaurant\client (Files)                                                                                             |          6 |     -8,689 |         -1 |        -10 |     -8,700 |
| ..\restaurant\client\public                                                                                              |          2 |        -41 |          0 |         -1 |        -42 |
| ..\restaurant\client\src                                                                                                 |        133 |     -5,162 |       -131 |       -556 |     -5,849 |
| ..\restaurant\client\src (Files)                                                                                         |          3 |        -97 |         -2 |         -8 |       -107 |
| ..\restaurant\client\src\Components                                                                                      |         44 |     -1,483 |        -41 |       -151 |     -1,675 |
| ..\restaurant\client\src\Components\Admin                                                                                |          9 |       -241 |         -1 |        -20 |       -262 |
